<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ICE.BRN,D,170612,00:00:00,48.2700000
ICE.BRN,D,170613,00:00:00,48.2300000
ICE.BRN,D,170614,00:00:00,46.9000000
ICE.BRN,D,170615,00:00:00,46.7900000
ICE.BRN,D,170616,00:00:00,47.2700000
ICE.BRN,D,170618,00:00:00,47.2500000
ICE.BRN,D,170619,00:00:00,46.8100000
ICE.BRN,D,170620,00:00:00,45.8400000
ICE.BRN,D,170621,00:00:00,44.7800000
ICE.BRN,D,170622,00:00:00,45.2900000
ICE.BRN,D,170623,00:00:00,45.6100000
ICE.BRN,D,170625,00:00:00,45.9800000
ICE.BRN,D,170626,00:00:00,46.1400000
ICE.BRN,D,170627,00:00:00,46.4600000
ICE.BRN,D,170628,00:00:00,47.6600000
ICE.BRN,D,170629,00:00:00,47.5000000
ICE.BRN,D,170630,00:00:00,48.9400000
ICE.BRN,D,170702,00:00:00,48.9200000
ICE.BRN,D,170703,00:00:00,49.6000000
ICE.BRN,D,170704,00:00:00,49.6800000
ICE.BRN,D,170705,00:00:00,48.3400000
ICE.BRN,D,170706,00:00:00,47.9700000
ICE.BRN,D,170707,00:00:00,46.9000000
ICE.BRN,D,170709,00:00:00,46.8800000
ICE.BRN,D,170710,00:00:00,46.9900000
ICE.BRN,D,170711,00:00:00,48.1000000
ICE.BRN,D,170712,00:00:00,47.7100000
ICE.BRN,D,170713,00:00:00,48.3700000
ICE.BRN,D,170714,00:00:00,49.0900000
ICE.BRN,D,170716,00:00:00,49.0300000
ICE.BRN,D,170717,00:00:00,48.3700000
ICE.BRN,D,170718,00:00:00,48.7000000
ICE.BRN,D,170719,00:00:00,49.5700000
ICE.BRN,D,170720,00:00:00,49.2800000
ICE.BRN,D,170721,00:00:00,47.9600000
ICE.BRN,D,170723,00:00:00,48.0300000
ICE.BRN,D,170724,00:00:00,48.7100000
ICE.BRN,D,170725,00:00:00,50.8400000
ICE.BRN,D,170726,00:00:00,51.0100000
ICE.BRN,D,170727,00:00:00,51.6300000
ICE.BRN,D,170728,00:00:00,52.3200000
ICE.BRN,D,170730,00:00:00,52.4300000
ICE.BRN,D,170731,00:00:00,52.6800000
ICE.BRN,D,170801,00:00:00,51.4700000
ICE.BRN,D,170802,00:00:00,52.2900000
ICE.BRN,D,170803,00:00:00,51.9300000
ICE.BRN,D,170804,00:00:00,52.4600000
ICE.BRN,D,170806,00:00:00,52.4200000
ICE.BRN,D,170807,00:00:00,52.3000000
ICE.BRN,D,170808,00:00:00,51.9900000
ICE.BRN,D,170809,00:00:00,52.8200000
ICE.BRN,D,170810,00:00:00,51.8200000
ICE.BRN,D,170811,00:00:00,52.0500000
ICE.BRN,D,170813,00:00:00,52.0500000
ICE.BRN,D,170814,00:00:00,50.6200000
ICE.BRN,D,170815,00:00:00,51.0000000
ICE.BRN,D,170816,00:00:00,50.4000000
ICE.BRN,D,170817,00:00:00,50.8000000
ICE.BRN,D,170818,00:00:00,52.8600000
ICE.BRN,D,170820,00:00:00,52.8000000
ICE.BRN,D,170821,00:00:00,51.7000000
ICE.BRN,D,170822,00:00:00,51.6700000
ICE.BRN,D,170823,00:00:00,52.5200000
ICE.BRN,D,170824,00:00:00,52.1300000
ICE.BRN,D,170825,00:00:00,51.9100000
ICE.BRN,D,170827,00:00:00,52.3500000
ICE.BRN,D,170828,00:00:00,51.6100000
ICE.BRN,D,170829,00:00:00,51.6000000
ICE.BRN,D,170830,00:00:00,50.6700000
ICE.BRN,D,170831,00:00:00,52.7700000
ICE.BRN,D,170901,00:00:00,52.6900000
ICE.BRN,D,170903,00:00:00,52.4400000
ICE.BRN,D,170904,00:00:00,52.2000000
ICE.BRN,D,170905,00:00:00,53.1900000
ICE.BRN,D,170906,00:00:00,54.1700000
ICE.BRN,D,170907,00:00:00,54.5000000
ICE.BRN,D,170908,00:00:00,53.7500000
ICE.BRN,D,170910,00:00:00,53.9000000
ICE.BRN,D,170911,00:00:00,53.9300000
ICE.BRN,D,170912,00:00:00,54.2800000
ICE.BRN,D,170913,00:00:00,55.0800000
ICE.BRN,D,170914,00:00:00,55.2800000
ICE.BRN,D,170915,00:00:00,55.4800000
ICE.BRN,D,170917,00:00:00,55.5100000
ICE.BRN,D,170918,00:00:00,55.4400000
ICE.BRN,D,170919,00:00:00,55.4000000
ICE.BRN,D,170920,00:00:00,56.1800000
ICE.BRN,D,170921,00:00:00,56.4500000
ICE.BRN,D,170922,00:00:00,56.9000000
ICE.BRN,D,170924,00:00:00,56.8800000
ICE.BRN,D,170925,00:00:00,58.5200000
ICE.BRN,D,170926,00:00:00,58.0300000
ICE.BRN,D,170927,00:00:00,57.3200000
ICE.BRN,D,170928,00:00:00,57.2700000
ICE.BRN,D,170929,00:00:00,56.5300000
ICE.BRN,D,171001,00:00:00,56.7200000
ICE.BRN,D,171002,00:00:00,56.0700000
ICE.BRN,D,171003,00:00:00,55.7200000
ICE.BRN,D,171004,00:00:00,55.7400000
ICE.BRN,D,171005,00:00:00,56.9900000
ICE.BRN,D,171006,00:00:00,55.6800000
