<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,D,170612,00:00:00,2655.7100000
BTC-USD,D,170613,00:00:00,2709.0100000
BTC-USD,D,170614,00:00:00,2432.2100000
BTC-USD,D,170615,00:00:00,2409.9800000
BTC-USD,D,170616,00:00:00,2480.4300000
BTC-USD,D,170617,00:00:00,2634.9400000
BTC-USD,D,170618,00:00:00,2515.2500000
BTC-USD,D,170619,00:00:00,2596.9800000
BTC-USD,D,170620,00:00:00,2725.0800000
BTC-USD,D,170621,00:00:00,2643.3500000
BTC-USD,D,170622,00:00:00,2679.9900000
BTC-USD,D,170623,00:00:00,2690.7600000
BTC-USD,D,170624,00:00:00,2574.8400000
BTC-USD,D,170625,00:00:00,2505.6100000
BTC-USD,D,170626,00:00:00,2407.9100000
BTC-USD,D,170627,00:00:00,2575.7500000
BTC-USD,D,170628,00:00:00,2553.1200000
BTC-USD,D,170629,00:00:00,2530.0000000
BTC-USD,D,170630,00:00:00,2455.1900000
BTC-USD,D,170701,00:00:00,2423.6300000
BTC-USD,D,170702,00:00:00,2516.6600000
BTC-USD,D,170703,00:00:00,2542.4100000
BTC-USD,D,170704,00:00:00,2602.0000000
BTC-USD,D,170705,00:00:00,2089.5100000
BTC-USD,D,170709,00:00:00,2508.9900000
BTC-USD,D,170710,00:00:00,2331.0500000
BTC-USD,D,170711,00:00:00,2310.0100000
BTC-USD,D,170712,00:00:00,2383.4200000
BTC-USD,D,170713,00:00:00,2340.0000000
BTC-USD,D,170714,00:00:00,2217.2400000
BTC-USD,D,170715,00:00:00,1964.3100000
BTC-USD,D,170716,00:00:00,1911.7800000
BTC-USD,D,170717,00:00:00,2235.1900000
BTC-USD,D,170718,00:00:00,2308.1500000
BTC-USD,D,170719,00:00:00,2258.9900000
BTC-USD,D,170720,00:00:00,2873.4800000
BTC-USD,D,170721,00:00:00,2657.4500000
BTC-USD,D,170722,00:00:00,2825.2700000
BTC-USD,D,170723,00:00:00,2754.2800000
BTC-USD,D,170724,00:00:00,2762.2600000
BTC-USD,D,170725,00:00:00,2564.0000000
BTC-USD,D,170726,00:00:00,2525.9900000
BTC-USD,D,170727,00:00:00,2664.9900000
BTC-USD,D,170728,00:00:00,2786.0700000
BTC-USD,D,170729,00:00:00,2700.2100000
BTC-USD,D,170730,00:00:00,2723.9900000
BTC-USD,D,170731,00:00:00,2856.8800000
BTC-USD,D,170801,00:00:00,2732.5900000
BTC-USD,D,170802,00:00:00,2699.9000000
BTC-USD,D,170803,00:00:00,2787.0200000
BTC-USD,D,170804,00:00:00,2857.3400000
BTC-USD,D,170805,00:00:00,3243.4900000
BTC-USD,D,170806,00:00:00,3222.2200000
BTC-USD,D,170807,00:00:00,3398.2300000
BTC-USD,D,170808,00:00:00,3422.4300000
BTC-USD,D,170809,00:00:00,3342.8000000
BTC-USD,D,170810,00:00:00,3444.9800000
BTC-USD,D,170811,00:00:00,3656.1500000
BTC-USD,D,170812,00:00:00,3874.0000000
BTC-USD,D,170813,00:00:00,4060.4700000
BTC-USD,D,170814,00:00:00,4320.6000000
BTC-USD,D,170815,00:00:00,4159.9300000
BTC-USD,D,170816,00:00:00,4370.0100000
BTC-USD,D,170817,00:00:00,4280.0100000
BTC-USD,D,170818,00:00:00,4101.7200000
BTC-USD,D,170819,00:00:00,4157.4100000
BTC-USD,D,170820,00:00:00,4050.9900000
BTC-USD,D,170821,00:00:00,4002.0000000
BTC-USD,D,170822,00:00:00,4092.0000000
BTC-USD,D,170823,00:00:00,4143.4900000
BTC-USD,D,170824,00:00:00,4312.0300000
BTC-USD,D,170825,00:00:00,4360.0000000
BTC-USD,D,170826,00:00:00,4344.3200000
BTC-USD,D,170827,00:00:00,4340.1100000
BTC-USD,D,170828,00:00:00,4384.9900000
BTC-USD,D,170829,00:00:00,4599.0000000
BTC-USD,D,170830,00:00:00,4581.9800000
BTC-USD,D,170831,00:00:00,4743.9400000
BTC-USD,D,170901,00:00:00,4947.9900000
BTC-USD,D,170902,00:00:00,4649.9900000
BTC-USD,D,170903,00:00:00,4626.0500000
BTC-USD,D,170904,00:00:00,4498.2500000
BTC-USD,D,170905,00:00:00,4432.5100000
BTC-USD,D,170906,00:00:00,4616.1800000
BTC-USD,D,170907,00:00:00,4624.1800000
BTC-USD,D,170908,00:00:00,4350.0000000
BTC-USD,D,170909,00:00:00,4334.3600000
BTC-USD,D,170910,00:00:00,4251.3600000
BTC-USD,D,170911,00:00:00,4210.7200000
BTC-USD,D,170912,00:00:00,4164.5200000
BTC-USD,D,170913,00:00:00,3855.3200000
BTC-USD,D,170914,00:00:00,3250.4000000
BTC-USD,D,170915,00:00:00,3740.0200000
BTC-USD,D,170916,00:00:00,3726.5100000
BTC-USD,D,170917,00:00:00,3650.0100000
BTC-USD,D,170919,00:00:00,3910.1100000
BTC-USD,D,170920,00:00:00,3990.6700000
BTC-USD,D,170921,00:00:00,3617.4700000
BTC-USD,D,170922,00:00:00,3619.0100000
BTC-USD,D,170923,00:00:00,3787.3300000
BTC-USD,D,170924,00:00:00,3669.0100000
BTC-USD,D,170925,00:00:00,3919.7800000
BTC-USD,D,170926,00:00:00,3885.0900000
BTC-USD,D,170927,00:00:00,4200.0000000
BTC-USD,D,170928,00:00:00,4189.4200000
BTC-USD,D,170929,00:00:00,4156.9900000
BTC-USD,D,170930,00:00:00,4339.0000000
BTC-USD,D,171001,00:00:00,4394.8100000
BTC-USD,D,171002,00:00:00,4392.7100000
BTC-USD,D,171003,00:00:00,4307.9900000
BTC-USD,D,171004,00:00:00,4214.8400000
BTC-USD,D,171005,00:00:00,4320.0400000
BTC-USD,D,171006,00:00:00,4362.9900000
BTC-USD,D,171007,00:00:00,4425.0000000
BTC-USD,D,171008,00:00:00,4603.4900000
BTC-USD,D,171009,00:00:00,4769.5500000
BTC-USD,D,171010,00:00:00,4750.0000000
BTC-USD,D,171011,00:00:00,4814.9900000
BTC-USD,D,171012,00:00:00,5440.0000000
BTC-USD,D,171013,00:00:00,5624.8000000
BTC-USD,D,171014,00:00:00,5819.1300000
BTC-USD,D,171015,00:00:00,5693.7000000
