<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
comex.GC,D,170612,00:00:00,1268.0000000
comex.GC,D,170613,00:00:00,1270.6000000
comex.GC,D,170614,00:00:00,1266.2000000
comex.GC,D,170615,00:00:00,1254.4000000
comex.GC,D,170616,00:00:00,1255.2000000
comex.GC,D,170618,00:00:00,1254.1000000
comex.GC,D,170619,00:00:00,1246.5000000
comex.GC,D,170620,00:00:00,1247.4000000
comex.GC,D,170621,00:00:00,1253.7000000
comex.GC,D,170622,00:00:00,1252.7000000
comex.GC,D,170623,00:00:00,1257.8000000
comex.GC,D,170625,00:00:00,1255.0000000
comex.GC,D,170626,00:00:00,1245.6000000
comex.GC,D,170627,00:00:00,1251.8000000
comex.GC,D,170628,00:00:00,1251.5000000
comex.GC,D,170629,00:00:00,1246.4000000
comex.GC,D,170630,00:00:00,1241.4000000
comex.GC,D,170702,00:00:00,1237.6000000
comex.GC,D,170703,00:00:00,1222.4000000
comex.GC,D,170704,00:00:00,1225.4000000
comex.GC,D,170705,00:00:00,1225.8000000
comex.GC,D,170706,00:00:00,1220.0000000
comex.GC,D,170707,00:00:00,1211.9000000
comex.GC,D,170709,00:00:00,1210.2000000
comex.GC,D,170710,00:00:00,1210.3000000
comex.GC,D,170711,00:00:00,1219.1000000
comex.GC,D,170712,00:00:00,1222.4000000
comex.GC,D,170713,00:00:00,1215.7000000
comex.GC,D,170714,00:00:00,1228.0000000
comex.GC,D,170716,00:00:00,1229.8000000
comex.GC,D,170717,00:00:00,1237.0000000
comex.GC,D,170718,00:00:00,1240.7000000
comex.GC,D,170719,00:00:00,1238.2000000
comex.GC,D,170720,00:00:00,1244.8000000
comex.GC,D,170721,00:00:00,1255.0000000
comex.GC,D,170723,00:00:00,1254.2000000
comex.GC,D,170724,00:00:00,1256.0000000
comex.GC,D,170725,00:00:00,1246.5000000
comex.GC,D,170726,00:00:00,1262.9000000
comex.GC,D,170727,00:00:00,1257.4000000
comex.GC,D,170728,00:00:00,1269.0000000
comex.GC,D,170730,00:00:00,1274.2000000
comex.GC,D,170731,00:00:00,1276.1000000
comex.GC,D,170801,00:00:00,1271.3000000
comex.GC,D,170802,00:00:00,1268.5000000
comex.GC,D,170803,00:00:00,1274.3000000
comex.GC,D,170804,00:00:00,1264.3000000
comex.GC,D,170806,00:00:00,1263.8000000
comex.GC,D,170807,00:00:00,1265.8000000
comex.GC,D,170808,00:00:00,1270.4000000
comex.GC,D,170809,00:00:00,1282.5000000
comex.GC,D,170810,00:00:00,1291.9000000
comex.GC,D,170811,00:00:00,1295.0000000
comex.GC,D,170813,00:00:00,1292.4000000
comex.GC,D,170814,00:00:00,1280.4000000
comex.GC,D,170815,00:00:00,1278.7000000
comex.GC,D,170816,00:00:00,1293.2000000
comex.GC,D,170817,00:00:00,1293.7000000
comex.GC,D,170818,00:00:00,1290.3000000
comex.GC,D,170820,00:00:00,1291.1000000
comex.GC,D,170821,00:00:00,1294.1000000
comex.GC,D,170822,00:00:00,1290.8000000
comex.GC,D,170823,00:00:00,1294.0000000
comex.GC,D,170824,00:00:00,1292.0000000
comex.GC,D,170825,00:00:00,1296.5000000
comex.GC,D,170827,00:00:00,1299.5000000
comex.GC,D,170828,00:00:00,1322.1000000
comex.GC,D,170829,00:00:00,1317.0000000
comex.GC,D,170830,00:00:00,1308.5000000
comex.GC,D,170831,00:00:00,1324.9000000
comex.GC,D,170901,00:00:00,1329.9000000
comex.GC,D,170903,00:00:00,1339.2000000
comex.GC,D,170904,00:00:00,1341.6000000
comex.GC,D,170905,00:00:00,1343.7000000
comex.GC,D,170906,00:00:00,1339.6000000
comex.GC,D,170907,00:00:00,1358.7000000
comex.GC,D,170908,00:00:00,1351.0000000
comex.GC,D,170910,00:00:00,1341.7000000
comex.GC,D,170911,00:00:00,1328.3000000
comex.GC,D,170912,00:00:00,1335.2000000
comex.GC,D,170913,00:00:00,1326.1000000
comex.GC,D,170914,00:00:00,1333.6000000
comex.GC,D,170915,00:00:00,1323.5000000
comex.GC,D,170917,00:00:00,1321.6000000
comex.GC,D,170918,00:00:00,1310.6000000
comex.GC,D,170919,00:00:00,1316.1000000
comex.GC,D,170920,00:00:00,1301.4000000
comex.GC,D,170921,00:00:00,1301.0000000
comex.GC,D,170922,00:00:00,1300.5000000
comex.GC,D,170924,00:00:00,1296.7000000
comex.GC,D,170925,00:00:00,1316.3000000
comex.GC,D,170926,00:00:00,1297.0000000
comex.GC,D,170927,00:00:00,1283.4000000
comex.GC,D,170928,00:00:00,1288.2000000
comex.GC,D,170929,00:00:00,1282.5000000
comex.GC,D,171001,00:00:00,1277.8000000
comex.GC,D,171002,00:00:00,1271.8000000
comex.GC,D,171003,00:00:00,1277.9000000
comex.GC,D,171004,00:00:00,1277.5000000
comex.GC,D,171005,00:00:00,1270.3000000
comex.GC,D,171006,00:00:00,1278.9000000
comex.GC,D,171008,00:00:00,1285.1000000
comex.GC,D,171009,00:00:00,1289.6000000
comex.GC,D,171010,00:00:00,1289.7000000
comex.GC,D,171011,00:00:00,1297.2000000
comex.GC,D,171012,00:00:00,1297.8000000
comex.GC,D,171013,00:00:00,1306.1000000
comex.GC,D,171015,00:00:00,1304.4000000
comex.GC,D,171016,00:00:00,1294.8000000
comex.GC,D,171017,00:00:00,1288.3000000
comex.GC,D,171018,00:00:00,1279.5000000
comex.GC,D,171019,00:00:00,1284.8000000
comex.GC,D,171020,00:00:00,1281.8000000
comex.GC,D,171022,00:00:00,1277.7000000
comex.GC,D,171023,00:00:00,1284.3000000
comex.GC,D,171024,00:00:00,1274.1000000
comex.GC,D,171025,00:00:00,1281.2000000
comex.GC,D,171026,00:00:00,1268.4000000
comex.GC,D,171027,00:00:00,1274.6000000
comex.GC,D,171029,00:00:00,1272.7000000
comex.GC,D,171030,00:00:00,1276.1000000
comex.GC,D,171031,00:00:00,1270.2000000
comex.GC,D,171101,00:00:00,1280.8000000
comex.GC,D,171102,00:00:00,1277.9000000
comex.GC,D,171103,00:00:00,1270.2000000
comex.GC,D,171105,00:00:00,1270.6000000
comex.GC,D,171106,00:00:00,1279.5000000
comex.GC,D,171107,00:00:00,1278.6000000
comex.GC,D,171108,00:00:00,1284.2000000
comex.GC,D,171109,00:00:00,1285.3000000
comex.GC,D,171110,00:00:00,1275.6000000
comex.GC,D,171112,00:00:00,1277.2000000
comex.GC,D,171113,00:00:00,1276.8000000
comex.GC,D,171114,00:00:00,1281.0000000
comex.GC,D,171115,00:00:00,1276.2000000
comex.GC,D,171116,00:00:00,1281.8000000
comex.GC,D,171117,00:00:00,1294.4000000
comex.GC,D,171119,00:00:00,1291.7000000
comex.GC,D,171120,00:00:00,1279.4000000
comex.GC,D,171121,00:00:00,1281.2000000
comex.GC,D,171122,00:00:00,1289.0000000
comex.GC,D,171123,00:00:00,1291.3000000
comex.GC,D,171124,00:00:00,1288.0000000
comex.GC,D,171126,00:00:00,1289.7000000
comex.GC,D,171127,00:00:00,1293.8000000
comex.GC,D,171128,00:00:00,1294.6000000
comex.GC,D,171129,00:00:00,1286.7000000
comex.GC,D,171130,00:00:00,1278.0000000
comex.GC,D,171201,00:00:00,1283.1000000
comex.GC,D,171203,00:00:00,1277.2000000
comex.GC,D,171204,00:00:00,1278.5000000
comex.GC,D,171205,00:00:00,1269.9000000
comex.GC,D,171206,00:00:00,1262.7000000
comex.GC,D,171207,00:00:00,1251.2000000
