<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SANDP-500,D,170612,00:00:00,2429.3900000
SANDP-500,D,170613,00:00:00,2440.3500000
SANDP-500,D,170614,00:00:00,2437.9200000
SANDP-500,D,170615,00:00:00,2432.4600000
SANDP-500,D,170616,00:00:00,2433.1500000
SANDP-500,D,170619,00:00:00,2453.4600000
SANDP-500,D,170620,00:00:00,2437.0300000
SANDP-500,D,170621,00:00:00,2435.6100000
SANDP-500,D,170622,00:00:00,2434.5000000
SANDP-500,D,170623,00:00:00,2438.3000000
SANDP-500,D,170626,00:00:00,2439.0700000
SANDP-500,D,170627,00:00:00,2419.3800000
SANDP-500,D,170628,00:00:00,2440.6900000
SANDP-500,D,170629,00:00:00,2419.7000000
SANDP-500,D,170630,00:00:00,2423.4100000
SANDP-500,D,170703,00:00:00,2429.0100000
SANDP-500,D,170705,00:00:00,2432.5400000
SANDP-500,D,170706,00:00:00,2409.7500000
SANDP-500,D,170707,00:00:00,2425.1800000
SANDP-500,D,170710,00:00:00,2427.4300000
SANDP-500,D,170711,00:00:00,2425.5300000
SANDP-500,D,170712,00:00:00,2443.2500000
SANDP-500,D,170713,00:00:00,2447.8300000
SANDP-500,D,170714,00:00:00,2459.2700000
SANDP-500,D,170717,00:00:00,2459.1400000
SANDP-500,D,170718,00:00:00,2460.6100000
SANDP-500,D,170719,00:00:00,2473.8300000
SANDP-500,D,170720,00:00:00,2473.4500000
SANDP-500,D,170721,00:00:00,2472.5400000
SANDP-500,D,170724,00:00:00,2469.9100000
SANDP-500,D,170725,00:00:00,2477.1300000
SANDP-500,D,170726,00:00:00,2477.8300000
SANDP-500,D,170727,00:00:00,2475.4200000
SANDP-500,D,170728,00:00:00,2472.1000000
SANDP-500,D,170731,00:00:00,2470.3000000
SANDP-500,D,170801,00:00:00,2476.3500000
SANDP-500,D,170802,00:00:00,2477.5700000
SANDP-500,D,170803,00:00:00,2472.1600000
SANDP-500,D,170804,00:00:00,2476.8300000
SANDP-500,D,170807,00:00:00,2480.9100000
SANDP-500,D,170808,00:00:00,2474.9200000
SANDP-500,D,170809,00:00:00,2474.0200000
SANDP-500,D,170810,00:00:00,2438.2100000
SANDP-500,D,170811,00:00:00,2441.3200000
SANDP-500,D,170814,00:00:00,2465.8400000
SANDP-500,D,170815,00:00:00,2464.6100000
SANDP-500,D,170816,00:00:00,2468.1100000
SANDP-500,D,170817,00:00:00,2430.0100000
SANDP-500,D,170818,00:00:00,2425.5500000
SANDP-500,D,170821,00:00:00,2428.3700000
SANDP-500,D,170822,00:00:00,2452.5100000
SANDP-500,D,170823,00:00:00,2444.0400000
SANDP-500,D,170824,00:00:00,2438.9700000
SANDP-500,D,170825,00:00:00,2443.0500000
SANDP-500,D,170828,00:00:00,2444.2400000
SANDP-500,D,170829,00:00:00,2446.3000000
SANDP-500,D,170830,00:00:00,2457.5900000
SANDP-500,D,170831,00:00:00,2471.6500000
SANDP-500,D,170901,00:00:00,2476.5500000
SANDP-500,D,170905,00:00:00,2457.8500000
SANDP-500,D,170906,00:00:00,2465.5400000
SANDP-500,D,170907,00:00:00,2465.1000000
SANDP-500,D,170908,00:00:00,2461.4300000
SANDP-500,D,170911,00:00:00,2488.1100000
SANDP-500,D,170912,00:00:00,2496.4800000
SANDP-500,D,170913,00:00:00,2498.3700000
SANDP-500,D,170914,00:00:00,2495.6200000
SANDP-500,D,170915,00:00:00,2500.2300000
SANDP-500,D,170918,00:00:00,2503.8700000
SANDP-500,D,170919,00:00:00,2506.6500000
SANDP-500,D,170920,00:00:00,2508.2400000
SANDP-500,D,170921,00:00:00,2500.6000000
SANDP-500,D,170922,00:00:00,2502.2200000
SANDP-500,D,170925,00:00:00,2496.6600000
SANDP-500,D,170926,00:00:00,2496.8400000
SANDP-500,D,170927,00:00:00,2507.0400000
SANDP-500,D,170928,00:00:00,2510.0600000
SANDP-500,D,170929,00:00:00,2519.3600000
SANDP-500,D,171002,00:00:00,2529.1200000
SANDP-500,D,171003,00:00:00,2534.5800000
SANDP-500,D,171004,00:00:00,2537.7400000
SANDP-500,D,171005,00:00:00,2552.0700000
SANDP-500,D,171006,00:00:00,2549.3300000
SANDP-500,D,171009,00:00:00,2544.7300000
SANDP-500,D,171010,00:00:00,2550.6400000
SANDP-500,D,171011,00:00:00,2555.2400000
SANDP-500,D,171012,00:00:00,2550.9300000
SANDP-500,D,171013,00:00:00,2553.1700000
SANDP-500,D,171016,00:00:00,2557.6400000
SANDP-500,D,171017,00:00:00,2559.3600000
SANDP-500,D,171018,00:00:00,2561.2600000
SANDP-500,D,171019,00:00:00,2562.1000000
SANDP-500,D,171020,00:00:00,2575.2100000
SANDP-500,D,171023,00:00:00,2564.9800000
SANDP-500,D,171024,00:00:00,2569.1300000
SANDP-500,D,171025,00:00:00,2557.1500000
SANDP-500,D,171026,00:00:00,2560.4000000
SANDP-500,D,171027,00:00:00,2581.0700000
SANDP-500,D,171030,00:00:00,2572.8300000
SANDP-500,D,171031,00:00:00,2575.2600000
SANDP-500,D,171101,00:00:00,2579.3600000
SANDP-500,D,171102,00:00:00,2579.8500000
SANDP-500,D,171103,00:00:00,2587.8400000
SANDP-500,D,171106,00:00:00,2591.1300000
SANDP-500,D,171107,00:00:00,2590.6400000
SANDP-500,D,171108,00:00:00,2594.3800000
SANDP-500,D,171109,00:00:00,2584.6200000
SANDP-500,D,171110,00:00:00,2582.3000000
SANDP-500,D,171113,00:00:00,2584.8400000
SANDP-500,D,171114,00:00:00,2578.8700000
SANDP-500,D,171115,00:00:00,2564.6200000
SANDP-500,D,171116,00:00:00,2585.6400000
SANDP-500,D,171117,00:00:00,2578.8500000
SANDP-500,D,171120,00:00:00,2582.1400000
SANDP-500,D,171121,00:00:00,2599.0300000
SANDP-500,D,171122,00:00:00,2597.0800000
SANDP-500,D,171124,00:00:00,2602.4200000
SANDP-500,D,171127,00:00:00,2601.4200000
SANDP-500,D,171128,00:00:00,2627.0400000
SANDP-500,D,171129,00:00:00,2626.0700000
SANDP-500,D,171130,00:00:00,2647.5800000
SANDP-500,D,171201,00:00:00,2642.2200000
SANDP-500,D,171204,00:00:00,2639.4400000
SANDP-500,D,171205,00:00:00,2629.5700000
SANDP-500,D,171206,00:00:00,2629.2700000
SANDP-500,D,171207,00:00:00,2636.9800000
SANDP-500,D,171208,00:00:00,2651.5000000
SANDP-500,D,171211,00:00:00,2659.9900000
SANDP-500,D,171212,00:00:00,2664.1100000
SANDP-500,D,171213,00:00:00,2662.8500000
SANDP-500,D,171214,00:00:00,2652.0100000
SANDP-500,D,171215,00:00:00,2675.8100000
SANDP-500,D,171218,00:00:00,2690.1600000
SANDP-500,D,171219,00:00:00,2681.4700000
SANDP-500,D,171220,00:00:00,2679.2500000
SANDP-500,D,171221,00:00:00,2684.5700000
SANDP-500,D,171222,00:00:00,2683.3400000
SANDP-500,D,171226,00:00:00,2680.5000000
SANDP-500,D,171227,00:00:00,2682.6200000
SANDP-500,D,171228,00:00:00,2687.5400000
SANDP-500,D,171229,00:00:00,2673.6100000
SANDP-500,D,180102,00:00:00,2695.8100000
SANDP-500,D,180103,00:00:00,2713.0600000
SANDP-500,D,180104,00:00:00,2723.9900000
SANDP-500,D,180105,00:00:00,2743.1500000
SANDP-500,D,180108,00:00:00,2747.7100000
SANDP-500,D,180109,00:00:00,2751.2900000
SANDP-500,D,180110,00:00:00,2748.2300000
SANDP-500,D,180111,00:00:00,2767.5600000
SANDP-500,D,180112,00:00:00,2786.2400000
SANDP-500,D,180116,00:00:00,2776.4200000
SANDP-500,D,180117,00:00:00,2802.5600000
SANDP-500,D,180118,00:00:00,2798.0300000
SANDP-500,D,180119,00:00:00,2810.3000000
SANDP-500,D,180122,00:00:00,2832.9700000
SANDP-500,D,180123,00:00:00,2839.1300000
SANDP-500,D,180124,00:00:00,2837.5400000
SANDP-500,D,180125,00:00:00,2839.2500000
SANDP-500,D,180126,00:00:00,2872.8700000
SANDP-500,D,180129,00:00:00,2853.5300000
SANDP-500,D,180130,00:00:00,2822.4300000
SANDP-500,D,180131,00:00:00,2823.8100000
SANDP-500,D,180201,00:00:00,2821.9800000
SANDP-500,D,180202,00:00:00,2762.1300000
SANDP-500,D,180205,00:00:00,2648.9400000
SANDP-500,D,180206,00:00:00,2695.1400000
SANDP-500,D,180207,00:00:00,2681.6600000
SANDP-500,D,180208,00:00:00,2581.0000000
SANDP-500,D,180209,00:00:00,2619.5500000
SANDP-500,D,180212,00:00:00,2656.0000000
SANDP-500,D,180213,00:00:00,2662.9400000
SANDP-500,D,180214,00:00:00,2698.6300000
SANDP-500,D,180215,00:00:00,2731.2000000
SANDP-500,D,180216,00:00:00,2732.2200000
SANDP-500,D,180220,00:00:00,2716.2600000
SANDP-500,D,180221,00:00:00,2701.3300000
SANDP-500,D,180222,00:00:00,2703.9600000
SANDP-500,D,180223,00:00:00,2747.3000000
SANDP-500,D,180226,00:00:00,2779.6000000
SANDP-500,D,180227,00:00:00,2744.2800000
SANDP-500,D,180228,00:00:00,2713.8300000
SANDP-500,D,180301,00:00:00,2677.6700000
SANDP-500,D,180302,00:00:00,2691.2500000
SANDP-500,D,180305,00:00:00,2720.9400000
SANDP-500,D,180306,00:00:00,2728.1200000
SANDP-500,D,180307,00:00:00,2726.8000000
SANDP-500,D,180308,00:00:00,2738.9700000
SANDP-500,D,180309,00:00:00,2786.5700000
SANDP-500,D,180312,00:00:00,2783.0200000
SANDP-500,D,180313,00:00:00,2765.3100000
SANDP-500,D,180314,00:00:00,2749.4800000
SANDP-500,D,180315,00:00:00,2747.3300000
SANDP-500,D,180316,00:00:00,2752.0100000
SANDP-500,D,180319,00:00:00,2712.9200000
SANDP-500,D,180320,00:00:00,2716.9400000
SANDP-500,D,180321,00:00:00,2711.9300000
SANDP-500,D,180322,00:00:00,2643.6900000
SANDP-500,D,180323,00:00:00,2588.2600000
SANDP-500,D,180326,00:00:00,2658.5500000
SANDP-500,D,180327,00:00:00,2612.6200000
SANDP-500,D,180328,00:00:00,2605.0000000
SANDP-500,D,180329,00:00:00,2640.8700000
SANDP-500,D,180402,00:00:00,2581.8800000
SANDP-500,D,180403,00:00:00,2614.4500000
SANDP-500,D,180404,00:00:00,2644.6900000
SANDP-500,D,180405,00:00:00,2662.8400000
SANDP-500,D,180406,00:00:00,2604.4700000
SANDP-500,D,180409,00:00:00,2613.1600000
SANDP-500,D,180410,00:00:00,2656.8700000
SANDP-500,D,180411,00:00:00,2642.1900000
SANDP-500,D,180412,00:00:00,2663.9900000
SANDP-500,D,180413,00:00:00,2656.3000000
SANDP-500,D,180416,00:00:00,2677.8400000
SANDP-500,D,180417,00:00:00,2706.3900000
SANDP-500,D,180418,00:00:00,2708.6400000
SANDP-500,D,180419,00:00:00,2693.1300000
SANDP-500,D,180420,00:00:00,2670.1400000
SANDP-500,D,180423,00:00:00,2670.2900000
SANDP-500,D,180424,00:00:00,2634.5600000
SANDP-500,D,180425,00:00:00,2639.4000000
SANDP-500,D,180426,00:00:00,2666.9400000
SANDP-500,D,180427,00:00:00,2669.9100000
SANDP-500,D,180430,00:00:00,2648.0500000
SANDP-500,D,180501,00:00:00,2654.8000000
SANDP-500,D,180502,00:00:00,2635.6700000
SANDP-500,D,180503,00:00:00,2629.7300000
SANDP-500,D,180504,00:00:00,2663.4200000
SANDP-500,D,180507,00:00:00,2672.6300000
SANDP-500,D,180508,00:00:00,2671.9200000
SANDP-500,D,180509,00:00:00,2697.7900000
SANDP-500,D,180510,00:00:00,2723.0700000
SANDP-500,D,180511,00:00:00,2727.7200000
SANDP-500,D,180514,00:00:00,2730.1300000
SANDP-500,D,180515,00:00:00,2711.4500000
SANDP-500,D,180516,00:00:00,2722.4600000
SANDP-500,D,180517,00:00:00,2720.1300000
SANDP-500,D,180518,00:00:00,2712.9800000
SANDP-500,D,180521,00:00:00,2733.0100000
SANDP-500,D,180522,00:00:00,2724.4400000
SANDP-500,D,180523,00:00:00,2733.2900000
SANDP-500,D,180524,00:00:00,2727.7600000
SANDP-500,D,180525,00:00:00,2721.3300000
SANDP-500,D,180529,00:00:00,2689.8600000
SANDP-500,D,180530,00:00:00,2724.0100000
SANDP-500,D,180531,00:00:00,2705.2700000
SANDP-500,D,180601,00:00:00,2734.6200000
SANDP-500,D,180604,00:00:00,2746.8700000
SANDP-500,D,180605,00:00:00,2748.8000000
SANDP-500,D,180606,00:00:00,2772.3500000
SANDP-500,D,180607,00:00:00,2770.3700000
SANDP-500,D,180608,00:00:00,2779.0300000
SANDP-500,D,180611,00:00:00,2782.0000000
SANDP-500,D,180612,00:00:00,2786.8500000
SANDP-500,D,180613,00:00:00,2775.6300000
SANDP-500,D,180614,00:00:00,2782.4900000
SANDP-500,D,180615,00:00:00,2779.6600000
SANDP-500,D,180618,00:00:00,2773.7500000
SANDP-500,D,180619,00:00:00,2762.5900000
SANDP-500,D,180620,00:00:00,2767.3200000
SANDP-500,D,180621,00:00:00,2749.7600000
SANDP-500,D,180622,00:00:00,2754.8800000
SANDP-500,D,180625,00:00:00,2717.0700000
SANDP-500,D,180626,00:00:00,2723.0600000
SANDP-500,D,180627,00:00:00,2699.6300000
SANDP-500,D,180628,00:00:00,2716.3100000
SANDP-500,D,180629,00:00:00,2718.3700000
SANDP-500,D,180702,00:00:00,2726.7100000
SANDP-500,D,180703,00:00:00,2713.2200000
SANDP-500,D,180705,00:00:00,2736.6100000
SANDP-500,D,180706,00:00:00,2759.8200000
SANDP-500,D,180709,00:00:00,2784.1700000
SANDP-500,D,180710,00:00:00,2793.8400000
SANDP-500,D,180711,00:00:00,2774.0200000
SANDP-500,D,180712,00:00:00,2798.2900000
SANDP-500,D,180713,00:00:00,2801.3100000
SANDP-500,D,180716,00:00:00,2798.4300000
SANDP-500,D,180717,00:00:00,2809.5500000
SANDP-500,D,180718,00:00:00,2815.6200000
SANDP-500,D,180719,00:00:00,2804.4900000
SANDP-500,D,180720,00:00:00,2801.8300000
SANDP-500,D,180723,00:00:00,2806.9800000
SANDP-500,D,180724,00:00:00,2820.4000000
SANDP-500,D,180725,00:00:00,2846.0700000
SANDP-500,D,180726,00:00:00,2837.4400000
SANDP-500,D,180727,00:00:00,2818.8200000
SANDP-500,D,180730,00:00:00,2802.6000000
SANDP-500,D,180731,00:00:00,2816.2900000
SANDP-500,D,180801,00:00:00,2813.3600000
SANDP-500,D,180802,00:00:00,2827.2200000
SANDP-500,D,180803,00:00:00,2840.3500000
SANDP-500,D,180806,00:00:00,2850.4000000
SANDP-500,D,180807,00:00:00,2858.4500000
SANDP-500,D,180808,00:00:00,2857.7000000
SANDP-500,D,180809,00:00:00,2853.5800000
SANDP-500,D,180810,00:00:00,2833.2800000
SANDP-500,D,180813,00:00:00,2821.9300000
SANDP-500,D,180814,00:00:00,2839.9600000
SANDP-500,D,180815,00:00:00,2818.3700000
SANDP-500,D,180816,00:00:00,2840.6900000
SANDP-500,D,180817,00:00:00,2850.1300000
SANDP-500,D,180820,00:00:00,2858.5200000
SANDP-500,D,180821,00:00:00,2862.9600000
SANDP-500,D,180822,00:00:00,2861.8200000
SANDP-500,D,180823,00:00:00,2856.9800000
SANDP-500,D,180824,00:00:00,2874.6900000
SANDP-500,D,180827,00:00:00,2896.7400000
SANDP-500,D,180828,00:00:00,2897.5200000
SANDP-500,D,180829,00:00:00,2914.0400000
SANDP-500,D,180830,00:00:00,2901.1300000
SANDP-500,D,180831,00:00:00,2901.5200000
SANDP-500,D,180904,00:00:00,2896.7200000
SANDP-500,D,180905,00:00:00,2888.6000000
SANDP-500,D,180906,00:00:00,2878.0500000
SANDP-500,D,180907,00:00:00,2871.6800000
SANDP-500,D,180910,00:00:00,2877.1300000
SANDP-500,D,180911,00:00:00,2887.8900000
SANDP-500,D,180912,00:00:00,2888.9200000
SANDP-500,D,180913,00:00:00,2904.1800000
SANDP-500,D,180914,00:00:00,2904.9800000
SANDP-500,D,180917,00:00:00,2888.8000000
SANDP-500,D,180918,00:00:00,2904.3100000
SANDP-500,D,180919,00:00:00,2907.9500000
SANDP-500,D,180920,00:00:00,2931.2400000
SANDP-500,D,180921,00:00:00,2929.6700000
SANDP-500,D,180924,00:00:00,2919.3700000
SANDP-500,D,180925,00:00:00,2915.5600000
SANDP-500,D,180926,00:00:00,2905.9700000
SANDP-500,D,180927,00:00:00,2914.0000000
SANDP-500,D,180928,00:00:00,2913.9800000
SANDP-500,D,181001,00:00:00,2924.5900000
SANDP-500,D,181002,00:00:00,2923.4300000
SANDP-500,D,181003,00:00:00,2925.5100000
SANDP-500,D,181004,00:00:00,2901.6100000
SANDP-500,D,181005,00:00:00,2885.5700000
SANDP-500,D,181008,00:00:00,2884.4300000
SANDP-500,D,181009,00:00:00,2880.3400000
SANDP-500,D,181010,00:00:00,2785.6800000
SANDP-500,D,181011,00:00:00,2728.3700000
SANDP-500,D,181012,00:00:00,2767.1300000
SANDP-500,D,181015,00:00:00,2750.7900000
SANDP-500,D,181016,00:00:00,2809.9200000
SANDP-500,D,181017,00:00:00,2809.2100000
SANDP-500,D,181018,00:00:00,2768.7800000
SANDP-500,D,181019,00:00:00,2767.7800000
SANDP-500,D,181022,00:00:00,2755.8800000
SANDP-500,D,181023,00:00:00,2740.6900000
SANDP-500,D,181024,00:00:00,2656.1000000
SANDP-500,D,181025,00:00:00,2705.5700000
SANDP-500,D,181026,00:00:00,2658.6900000
SANDP-500,D,181029,00:00:00,2641.2500000
SANDP-500,D,181030,00:00:00,2682.6300000
SANDP-500,D,181031,00:00:00,2711.7400000
SANDP-500,D,181101,00:00:00,2740.3700000
SANDP-500,D,181102,00:00:00,2723.0600000
SANDP-500,D,181105,00:00:00,2738.3100000
SANDP-500,D,181106,00:00:00,2755.4500000
SANDP-500,D,181107,00:00:00,2813.8900000
SANDP-500,D,181108,00:00:00,2806.8300000
SANDP-500,D,181109,00:00:00,2781.0100000
SANDP-500,D,181112,00:00:00,2726.2200000
SANDP-500,D,181113,00:00:00,2722.1800000
SANDP-500,D,181114,00:00:00,2701.5800000
SANDP-500,D,181115,00:00:00,2730.2000000
SANDP-500,D,181116,00:00:00,2736.2700000
SANDP-500,D,181119,00:00:00,2690.7300000
SANDP-500,D,181120,00:00:00,2641.8900000
SANDP-500,D,181121,00:00:00,2649.9300000
SANDP-500,D,181123,00:00:00,2632.5600000
SANDP-500,D,181126,00:00:00,2673.4500000
SANDP-500,D,181127,00:00:00,2682.1700000
SANDP-500,D,181128,00:00:00,2743.7900000
SANDP-500,D,181129,00:00:00,2737.7600000
SANDP-500,D,181130,00:00:00,2760.1700000
SANDP-500,D,181203,00:00:00,2790.3700000
SANDP-500,D,181204,00:00:00,2700.0600000
SANDP-500,D,181206,00:00:00,2695.9500000
SANDP-500,D,181207,00:00:00,2633.0800000
SANDP-500,D,181210,00:00:00,2637.7200000
SANDP-500,D,181211,00:00:00,2636.7800000
SANDP-500,D,181212,00:00:00,2651.0700000
SANDP-500,D,181213,00:00:00,2650.5400000
SANDP-500,D,181214,00:00:00,2599.9500000
SANDP-500,D,181217,00:00:00,2545.9400000
SANDP-500,D,181218,00:00:00,2546.1600000
SANDP-500,D,181219,00:00:00,2506.9600000
SANDP-500,D,181220,00:00:00,2467.4200000
SANDP-500,D,181221,00:00:00,2416.6200000
SANDP-500,D,181224,00:00:00,2351.1000000
SANDP-500,D,181226,00:00:00,2467.7000000
SANDP-500,D,181227,00:00:00,2488.8300000
SANDP-500,D,181228,00:00:00,2485.7400000
SANDP-500,D,181231,00:00:00,2506.8500000
SANDP-500,D,190102,00:00:00,2510.0300000
SANDP-500,D,190103,00:00:00,2447.8900000
SANDP-500,D,190104,00:00:00,2531.9400000
SANDP-500,D,190107,00:00:00,2549.6900000
SANDP-500,D,190108,00:00:00,2574.4100000
SANDP-500,D,190109,00:00:00,2584.9600000
SANDP-500,D,190110,00:00:00,2596.6400000
SANDP-500,D,190111,00:00:00,2596.2600000
SANDP-500,D,190114,00:00:00,2582.6100000
SANDP-500,D,190115,00:00:00,2610.3000000
SANDP-500,D,190116,00:00:00,2616.1000000
SANDP-500,D,190117,00:00:00,2635.9600000
SANDP-500,D,190118,00:00:00,2670.7100000
SANDP-500,D,190122,00:00:00,2632.9000000
SANDP-500,D,190123,00:00:00,2638.7000000
SANDP-500,D,190124,00:00:00,2642.3300000
SANDP-500,D,190125,00:00:00,2664.7600000
SANDP-500,D,190128,00:00:00,2643.8500000
SANDP-500,D,190129,00:00:00,2640.0000000
SANDP-500,D,190130,00:00:00,2681.0500000
SANDP-500,D,190131,00:00:00,2704.1000000
SANDP-500,D,190201,00:00:00,2706.5300000
SANDP-500,D,190204,00:00:00,2724.8700000
SANDP-500,D,190205,00:00:00,2737.7000000
SANDP-500,D,190206,00:00:00,2731.6100000
SANDP-500,D,190207,00:00:00,2706.0500000
SANDP-500,D,190208,00:00:00,2707.8800000
SANDP-500,D,190211,00:00:00,2709.8000000
SANDP-500,D,190212,00:00:00,2744.7300000
SANDP-500,D,190213,00:00:00,2753.0300000
SANDP-500,D,190214,00:00:00,2745.7300000
SANDP-500,D,190215,00:00:00,2775.6000000
SANDP-500,D,190219,00:00:00,2779.7600000
SANDP-500,D,190220,00:00:00,2784.7000000
SANDP-500,D,190221,00:00:00,2774.8800000
SANDP-500,D,190222,00:00:00,2792.6700000
SANDP-500,D,190225,00:00:00,2796.1100000
SANDP-500,D,190226,00:00:00,2793.9000000
SANDP-500,D,190227,00:00:00,2792.3800000
SANDP-500,D,190228,00:00:00,2784.4900000
SANDP-500,D,190301,00:00:00,2803.6900000
SANDP-500,D,190304,00:00:00,2792.8100000
SANDP-500,D,190305,00:00:00,2789.6500000
SANDP-500,D,190306,00:00:00,2771.4500000
SANDP-500,D,190307,00:00:00,2748.9300000
SANDP-500,D,190308,00:00:00,2743.0700000
SANDP-500,D,190311,00:00:00,2783.3000000
SANDP-500,D,190312,00:00:00,2791.5200000
SANDP-500,D,190313,00:00:00,2810.9200000
SANDP-500,D,190314,00:00:00,2808.4800000
SANDP-500,D,190315,00:00:00,2822.4800000
SANDP-500,D,190318,00:00:00,2832.9400000
SANDP-500,D,190319,00:00:00,2832.5700000
SANDP-500,D,190320,00:00:00,2824.2300000
SANDP-500,D,190321,00:00:00,2854.8800000
SANDP-500,D,190322,00:00:00,2800.7100000
SANDP-500,D,190325,00:00:00,2798.3600000
SANDP-500,D,190326,00:00:00,2818.4600000
